class,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2.15625,1,0,0,0.888888889,0,0.327662722,32,22,10,42
0,0,2.884615385,1,0,0,0.838709677,0,0.287437415,26,22,10,42
0,0,3.377777778,1,0,0,0.616438356,0,0.353081422,45,22,20,43
0,0,0.97,1,0,0,0.591715976,0,0.326052632,100,22,20,43
0,0,0.281553398,1,0,0,0.542105263,0,0.040577545,103,22,20,43
0,0,1.228571429,1,0,0,0.606936416,0,0.395700851,105,22,20,43
0,0,2.295774648,1,0,0,0.537878788,0,0.31811559,71,22,20,43
0,0,0.5,-1,0,2,0.603773585,0,0.261904762,32,22,20,43
0,0,0.228070175,1,0,0,0.633333333,0,0.115789474,114,22,20,43
0,0,0.448,1,0,0,0.706214689,0,0.461563025,125,22,20,43
0,1.9375,16.65625,1,-1,-11,0.5,0.44047619,0.479742173,32,22,20,42
0,0.708333333,10.77083333,0,-4,-10,0.24742268,0.541472868,0.051354359,48,22,20,42
0,1.340909091,5.420454545,-1,0,-9,0.315412186,0.149847951,0.175273104,88,22,20,42
0,6.551724138,8.517241379,1,-4,-2,0.5,0.572682927,0.531011045,29,22,20,42
0,1.959459459,2.72972973,1,-4,-2,0.506849315,0.578457482,0.537348734,74,22,20,42
0,0,0.933333333,1,0,0,0.4,0,0.278606965,30,22,20,43
0,0,0.827586207,1,0,0,0.517857143,0,0.322219685,29,22,20,43
0,0.666666667,0.759259259,1,-1,0,0.28125,0.441441441,0.443494777,54,22,20,43
0,0,0.666666667,1,0,0,0.483870968,0,0.308016878,30,22,20,42
0,0,3.444444444,1,0,0,0.616438356,0,0.34322987,45,22,20,65
0,0,4.128205128,1,0,0,0.866666667,0,0.532855808,39,22,20,65
0,0,5.451612903,1,0,0,0.911764706,0,0.555961865,31,22,20,65
0,0,3.258064516,1,0,0,0.738095238,0,0.23573201,31,22,20,65
0,0,2.142857143,1,0,0,0.608695652,0,0.073260073,42,22,20,65
0,0,2.295774648,1,0,0,0.568,0,0.354276127,71,22,20,65
0,0,6.3125,1,0,0,0.780487805,0,0.530074451,32,22,20,65
0,0,1.916666667,1,0,0,0.761904762,0,0.265,48,22,20,65
0,0,2.5,1,0,0,0.952380952,0,0.412,40,22,20,65
0,0,0.774509804,1,0,0,0.603550296,0,0.36997446,102,22,20,65
0,0.808510638,8.531914894,0,1,-2,0.279761905,0.295649413,0.447231543,94,22,20,63
0,0.56097561,9.926829268,-4,5,2,0.381395349,0.440385219,0.061576273,82,22,20,63
0,0.280487805,9.926829268,0,1,-2,0.473988439,0.280487805,0.145801417,82,22,20,63
0,0.1375,10.2,0,1,-2,0.503144654,0.1375,0.195300497,80,22,20,63
0,0,27,-1,0,-1,0.603773585,0,0.329417081,32,22,20,63
0,0.453488372,4.779069767,-1,2,2,0.530864198,0.259171745,0.235123119,86,22,20,63
0,0.673684211,4.231578947,-1,2,2,0.25198939,0.609640172,0.611360509,95,22,20,63
0,3.633333333,36.23333333,1,-1,-16,0.4,0.454474097,0.260460805,30,22,20,65
0,3.793103448,37.51724138,1,-1,-16,0.517857143,0.578628268,0.428769725,29,22,20,65
0,0.396825397,16.73015873,1,-2,-16,0.235955056,0.336746885,0.253695016,63,22,20,65
0,0.1,11.41111111,0,1,-15,0.405405405,0.075770925,0.270321328,90,22,20,65
0,0,1.166666667,1,0,0,0.483870968,0,0.330033003,30,22,20,65
0,0.494180842,0.729632945,-15,11,-12,0.295815678,0.452633074,0.545089662,1117,43,42,98
0,0.632,11.712,1,0,-12,0.237191651,0.189576763,0.488055087,125,43,42,99
0,1.576923077,60.11538462,1,0,-12,0.371428571,0.002136752,0.049738578,26,43,42,99
0,4.184210526,19.90789474,1,-4,-12,0.282527881,0.042202863,0.249272253,76,43,42,99
0,2.177419355,11.81451613,-1,-2,-10,0.337874659,0.199098281,0.044630702,124,43,42,99
0,1.046153846,23.44615385,1,0,-12,0.643564356,0.279924953,0.451563408,65,43,42,99
0,0.830188679,28.98113208,1,-1,-12,0.365517241,0.263701707,0.034370468,53,43,42,99
0,0.4125,14.8125,0,0,-2,0.180586907,0.4125,0.473482857,80,43,42,98
0,0,1.230769231,0,0,0,0.440677966,0,0.430602007,26,43,42,98
0,2.78125,38.53125,1,0,-3,0.31372549,0.31633959,0.151832667,32,43,42,98
0,3.653846154,47.65384615,1,0,-3,0.337662338,0.223024416,0.21195916,26,43,42,98
0,0,45.85185185,1,0,-3,0.275510204,0,0.034185637,27,43,42,98
0,0.450980392,11.40196078,1,0,-3,0.142857143,0.357798165,0.862641986,102,43,42,98
0,0,39.80645161,0,0,-2,0.46969697,0,0.433482161,31,43,42,98
0,0,44.17857143,1,0,-3,0.32183908,0,0.173215037,28,43,42,98
0,0.003348214,0.831473214,-2,0,0,0.404880253,0.003348214,0.038977243,896,43,42,99
0,0,2.301810865,1,0,-3,0.406045752,0,0.035995001,497,43,42,99
0,14.46987952,22.27710843,1,-17,-28,0.372197309,0.104185112,0.228009269,83,43,42,98
0,36.76470588,55.82352941,1,-17,-28,0.309090909,0.078711412,0.478729178,34,43,42,98
0,13.75862069,21.20689655,1,-17,-28,0.319852941,0.042416211,0.428974654,87,43,42,98
0,17.60869565,27,1,-17,-28,0.305309735,0.092070947,0.49704282,69,43,42,98
0,18.1641791,27.8358209,1,-17,-28,0.372222222,0.104245069,0.227927079,67,43,42,98
